š;X;X
šešljati;-am;nedov.
šešljav;-ava -o;prid.
šetalec;-lca;m
šetališèe;-a;s
šetati;-am;in
šetland;-a;m
šetraj;-a;m
ševiot;;tudi
ševioten;-tna -o;prid.
ševro;-ja;m
šiba;-e;ž
šibanje;-a;s
šibast;-a -o;prid.
šibek;;stil.
šibeti;-im;nedov.
šibièen;-èna -o;prid.
šibika;-e;ž
šibina;-e;ž
šibiti se;-im se;nedov.
šibje;-a;s
šibka;-e;ž
šibkost;-i;ž
šibnat;-a -o;prid.
šibovje;;tudi
šibra;-e;ž
šibrast;-a -o;prid.
šibrenica;-e;ž
šibovje;;tudi
šibra;-e;ž
šibrast;-a -o;prid.
šibrenica;-e;ž
šibrovka;-e;ž
šifon;-a;m
šifonast;-a -o;prid.
šifra;-e;ž
šifrant;-a;m
šifrantka;-e;ž
šifrer;-ja;m
šifrerka;-e;ž
šifriranje;-a;s
šifrirati;-am;nedov. in dov.
šifriren;-rna -o;prid.
šifrirnica;-e;ž
šiht;-a;m
šihtar;-ja;m
šihten;-tna -o;prid.
šiit;-a;m
šija;-e;ž
šik;-a;m
šik;;prid. neskl.
šik;-a;m
šik;;prid. neskl.
šikana;-e;ž
šikaniranje;-a;s
šikanirati;-am;nedov.
šikanozen;-zna -o;prid.
šikara;-e;ž
šikati se;-am se;nedov.
šikniti;-em;dov.
šikoven;-vna -o;prid.
šilar;-ja;m
šilast;-a -o;prid.
šilastoloèen;-èna -o;prid.
šilec;-lca;m
šilek;-lka;m
šiling;-a;m
šiliti;-im;nedov.
šiljenje;-a;s
šilo;-a;s
šilonos;-a -o;prid.
šimbas;-a;m
šiljenje;-a;s
šilo;-a;s
šilonos;-a -o;prid.
šimbas;-a;m
šimelj;-na;in
šimeljèek;-èka;m
šimfati;-am;nedov.
šimi;-ja;m
šimi;;prid. neskl.
šimlja;-e;ž
šimpanz;-a;m
šimpanzinja;-e;ž
šimpanzovka;-e;ž
šiniti;-em;dov.
šinjati;-am;nedov.
šinjek;-jka;m
šinjel;-a;m
šinjon;-a;m
šink;-a;m
šinobus;-a;m
šintar;-ja;m
šintoizem;-zma;m
šipa;-e;ž
šipast;-a -o;prid.
šipek;-pka;m
šipica;-e;ž
šipkov;-a -o;prid.
šipkovje;-a;s
šipon;-a;m
šiptarski;-a -o;prid.
šir;;ž neskl.
šir;-a -o;prid.
širen;-rna -o;prid.
širilen;-lna -o;prid.
širilka;-e;ž
širina;-e;ž
širinski;-a -o;prid.
širitelj;-a;m
