ž;X;X
županija;-e;ž
županijski;-a -o;prid.
županiti;-im;nedov.
županja;-e;ž
županji;-a -e;prid.
županov;-a -o;prid.
županovanje;-a;s
županovati;-ujem;nedov.
županski;-a -o;prid.
županstvo;-a;s
županovanje;-a;s
županovati;-ujem;nedov.
županski;-a -o;prid.
županstvo;-a;s
župen;-pna -o;prid.
župica;-e;ž
župljan;;in
župljanka;-e;ž
župnica;-e;ž
župnija;-e;ž
župnijski;-a -o;prid.
župnikov;-a -o;prid.
župnikovati;-ujem;nedov.
župnišèe;-a;s
župniški;-a -o;prid.
župniški;-a -o;prid.
župski;-a -o;prid.
žur;;tudi
žuren;-rna -o;prid.
žuriti se;-im se;nedov.
žurnal;;tudi
žurnalist;-a;m
žuriti se;-im se;nedov.
žurnal;;tudi
žurnalist;-a;m
žurnalistièen;-èna -o;prid.
žurnalistika;-e;ž
žurnalistka;-e;ž
žurnalistovski;-a -o;prid.
žurnalizem;-zma;m
žužek;-žka;m
žuželèen;-èna -o;prid.
žuželèji;-a -e;prid.
žuželka;-e;ž
žuželkar;-ja;m
žuželkin;-a -o;prid.
žužkocvetka;-e;ž
žužkojed;-a;m
žužkojed;-a -o;prid.
žužkoslovec;-vca;m
žužkoslovje;-a;s
žužlja;-e;ž
žužljanje;-a;s
žužljati;-am;nedov.
žužnja;-e;ž
žužnjaè;-a;m
žužnjalast;-a -o;prid.
žužnjalo;-a;s
žužnjanje;-a;s
žužnjati;-am;nedov.
žužnjav;-ava -o;prid.
žvala;-e;ž
žvaliti;-im;nedov.
žvarast;-a -o;prid.
žvarcet;-a;m
žvarovina;;in
žveèek;-èka;m
žveèen;-èna -o;prid.
žveèenje;-a;s
žveèilec;-lca;m
žveèilen;-lna -o;prid.
žveèilo;-a;s
žveèiti;-im;nedov.
žveèka;-e;ž
žvegla;-e;ž
žveglaè;-a;m
žveglarica;-e;ž
žveglati;-am;tudi
žveglica;-e;ž
žvekalen;-lna -o;prid.
žvekalka;-e;ž
žvekalnik;-a;m
žvekanje;-a;s
žvekati;-am;nedov.
žvenèati;-im;nedov.
žvenk;žvenka;in
žvenk;;medm.
žvenkati;-am;in
žvenkelj;-klja;m
žvenket;-eta;m
žvenketanje;-a;s
žvenketati;-am;tudi
žvenkljanje;-a;s
žvenkljati;-am;nedov.
žvenkniti;-em;in
žveplalnica;-e;ž
žveplalnik;-a;m
žveplanje;-a;s
žveplar;-ja;m
žveplast;-a -o;prid.
žveplati;-am;nedov.
žveplec;-a;m
žveplen;-a -o;prid.
žveplenica;-e;ž
žveplenjaèa;-e;ž
žveplenka;-e;ž
žvepliti;-im;nedov.
žveplo;-a;s
žveplov;-a -o;prid.
žveplovodik;-a;m
žveplovodikov;-a -o;prid.
žverca;-e;ž
žvirca;;gl.
žvižg;-a;m
žvižga;-e;ž
žvižgaè;-a;m
žvižgalen;-lna -o;prid.
žvižganje;-a;s
žvižgati;-am;nedov.
žvižgav;-ava -o;tudi
žvižgavec;-vca;m
žvižgavka;-e;ž
žvižgljati;-am;nedov.
žvižgniti;-em;dov.
žvokno;-a;s
žvrgljati;-am;nedov.
žvrgolenje;-a;s
žvrgoleti;-im;nedov.
žvrgolevati;-am;nedov.
žvrgolevèek;-èka;m
žvrkati;-am;nedov.
žvrkelj;-klja;m
žvrklja;-e;ž
žvrkljanje;-a;s
žvrkljati;-am;nedov.
