è;X;X
èešuljek;-jka;m
èešuljica;-e;ž
èeta;-e;ž
èetaš;-a;m
èetica;-e;ž
èetnik;-a;m
èetniški;-a -o;prid.
èetništvo;-a;s
èetovanje;-a;s
èetovati;-ujem;nedov.
èetovodja;-e;tudi
èetrt;-a;m
èetrt;-i;ž
èetrt;;prisl.
èetrtak;-a;m
èetrtek;-tka;m
èetrten;-tna -o;prid.
èetrtfinale;-a;m
èetrtfinalen;-lna -o;prid.
èetrtfinalist;-a;m
èetrti;-a -o;štev.
èetrtiè;;prisl.
èetrtiè;;prisl.
èetrtina;-e;ž
èetrtinjak;-a;m
èetrtinka;-e;ž
èetrtinski;-a -o;prid.
èetrtiti;-im;nedov.
èetrtleten;-tna -o;prid.
èetrtletje;-a;s
èetrtletnik;-a;m
èetrtlitrski;-a -o;prid.
èetrtnica;-e;ž
èetrtnik;-a;m
èetrtnjak;-a;m
èetrtodnevnica;-e;ž
èetrtoletnik;-a;m
èetrtošolec;-lca;m
èetrtošolka;-e;ž
èetrtstoleten;-tna -o;prid.
èetrtstoletje;-a;s
èetrtton;-a;m
èetrttonski;-a -o;prid.
èetrturen;-rna -o;prid.
èetrtzemljak;-a;m
èetudi;;vez.
èetudi;;vez.
èetver;-i;ž
èetver;-a -o;štev.
èetverèek;-èka;m
èetverec;;in
èetveren;-rna -o;prid.
èetverica;-e;ž
èetverina;-e;ž
èetveriti;-im;nedov.
èetverka;-e;ž
èetvernica;-e;ž
èetvernik;-a;m
èetvero;;štev. neskl.
èetvero...;;prvi del zloženk
èetveroboj;-oja;m
èetverodelen;-lna -o;prid.
èetveroglasen;-sna -o;prid.
èetveroglasje;-a;s
èetverokapnica;-e;ž
èetverokot;-a;m
èetverokoten;-tna -o;prid.
èetverokotnik;-a;m
èetverokrak;;in
èetverolist;-a -o;prid.
èetverolisten;-tna -o;prid.
èetveronog;-a -o;prid.
èetveronožec;-žca;m
èetveronožen;-žna -o;prid.
èetveroogeln;-a -o;prid.
èetveroogelnik;-a;m
èetverooglat;-ata -o;prid.
èetverored;-a;m
èetverorob;-a -o;prid.
èetveroroben;-bna -o;prid.
èetveroroèen;;in
èetverospev;;in
èetverostop;-opa;m
èetverostopen;-pna -o;prid.
èetverostran;;in
